Area,Perimeter,Major_Axis_Length,Minor_Axis_Length,Eccentricity,Convex_Area,Extent
0.6913370055082625,0.9583058189838474,0.9635469988858144,0.8508226622835157,0.9952117721810447,0.6937407589945788,0.6651238474961338
0.6337506259389084,0.9012938648737097,0.8639497795174222,0.9172557011545232,0.9593107029155402,0.6400197141448991,0.7145623263934177
0.6315473209814723,0.9137125996540146,0.08911931859659525,0.8775923173300789,0.9772339752850379,0.6283883686545098,0.8050032046905913
0.485528292438658,0.8357121644373751,0.8107188710329564,0.874390438990811,0.9555099842678462,0.4720551996057172,0.7438863685145644
0.6369554331497246,0.9247346210287141,0.8879712924650903,0.8930482207583949,0.9714138137228915,0.6587481517989158,0.750109505826756
0.5158738107160742,0.8697592831347747,0.8389054328232558,0.8664020467613767,0.9656629405516298,0.513257762444554,0.7639080534980802
0.8089133700550827,0.9601127934245064,0.929393404720444,0.9543472119945213,0.9669415446125637,0.8139970428782652,0.07590957624006878
0.6215322984476715,0.8818388692668354,0.8246257863471375,0.9504834079957566,0.9378877780534359,0.6262198127156235,0.7543250864809272
0.5164747120681022,0.8598294368564554,0.08247351804653875,0.877181935590401,0.9607952589702189,0.5081320847708231,0.6644548459494307
0.6611917876815222,0.9115300299466669,0.8900801066887459,0.9001049685660247,0.97025084223814,0.6573681616559883,0.7249477066460048
0.6307461191787681,0.9054419380457795,0.8577131253091972,0.9297061351735724,0.9542774037417089,0.6398225726959093,0.06560440941959365
0.7609414121181773,0.9531293939608513,0.9467004373047505,0.9105106723994608,0.9803601407229309,0.7551503203548546,0.905540265124278
0.5756634952428642,0.08746105129357595,0.0829841024181245,0.907036402635855,0.9541994845975376,0.5771315919172006,0.9072252364608234
0.5179769654481722,0.8695751579691147,0.8493714993541143,0.08458440133003653,0.971482399685421,0.5146377525874815,0.8334112317766481
0.6030045067601403,0.906098367188868,0.8955288374206986,0.8615023611184894,0.9803121364474136,0.6011828486939379,0.7742973815503383
0.6891337005508261,0.9054036551479098,0.8976528297424906,0.9102026951938463,0.09613056015891291,0.6718580581567275,0.6610261639220371
0.6920380570856285,0.9059615949125125,0.8744918015945504,0.9382493139670081,0.9567904425251559,0.6809265648102514,0.8503914479869793
0.5188783174762143,0.876049806836897,0.8686383818777945,0.8392757704988085,0.9794779722119363,0.5079349433218334,0.6915502929817049
0.5379068602904357,0.8765293445263348,0.8301664187991422,0.8994202863434028,0.9543945065915935,0.5518974864465254,0.7803517106232021
0.5601402103154732,0.8788340522509808,0.007794674250938275,0.8811709007864467,0.9656467053411422,0.5550517496303597,0.6516837674726423
0.6086129193790687,0.8902189263420831,0.007836026940067773,0.9062003662872803,0.9603424457698043,0.6074913750616067,0.8869656120012348
0.5056584877315974,0.8623656780654121,0.8384342028849793,0.8667281223390358,0.9654534731988799,0.5033021192705767,0.0917080266958093
0.672508763144717,0.908565331925774,0.8639146839166708,0.9476408236346162,0.9512790802644623,0.6737309019221291,0.6813799940151032
0.6271407110666,0.9046870753182182,0.8894712480875263,0.8859412252630824,0.9734266731141796,0.6213898472153772,0.6634840393597091
0.49163745618427634,0.8496789075706724,0.8298889197836242,0.8569861769534436,0.09573168916653894,0.4796451453918187,0.6878123926012837
0.7909864797195795,0.9558006269607511,0.9095021014595845,0.96652815646241,0.9590885789834802,0.8052242483982257,0.7531322025045376
0.4882323485227841,0.8559931355232868,0.835920443651305,0.8537832294292529,0.9681091821519312,0.478265155248891,0.6984339807369178
0.500751126690035,0.8625170289891454,0.8445539782246827,0.8524723600691138,0.9706456155530403,0.4937407589945786,0.9059245009681964
0.6626940410615924,0.8991003890778352,0.8472742129805656,0.9507709959189619,0.9453178453507588,0.6681123706259242,0.8593208618239365
